line,update,reason,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,ko-update,ko-reason,ru-update,ru-reason,vi-update,vi-reason,zh-tw-update,zh-tw-reason,ja-update,ja-reason
2,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
4,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
10,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
14,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
16,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16.png,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA,Line 16 will extend east to Alameda St. in Downtown LA via 6th St. (eastbound) and 5th St. (westbound).,More Service for riders in east Downtown LA
16,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders,Line 16 will see increased service every 15 mins between 10pm-midnight weekdays and weekends going eastbound.,Added capacity to avoid crowded buses for riders
16,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
18,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
20,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
28,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
30,"With the opening of Regional Connector light rail and the E Line serving East LA, Line 30 trips will no longer operate east of Little Tokyo to Union Station or Indiana Station. Line 106 will still serve 1st St. between Indiana Station and Little Tokyo. All trips on Line 30 will operate weekdays and weekends between Little Tokyo and Pico Rimpau Transit Center.",Avoid duplicating new Regional Connector E Line while retaining local bus 106 for 1st St.,,"With the opening of Regional Connector light rail and the E Line serving East LA, Line 30 trips will no longer operate east of Little Tokyo to Union Station or Indiana Station. Line 106 will still serve 1st St. between Indiana Station and Little Tokyo. All trips on Line 30 will operate weekdays and weekends between Little Tokyo and Pico Rimpau Transit Center.",Avoid duplicating new Regional Connector E Line while retaining local bus 106 for 1st St.,"With the opening of Regional Connector light rail and the E Line serving East LA, Line 30 trips will no longer operate east of Little Tokyo to Union Station or Indiana Station. Line 106 will still serve 1st St. between Indiana Station and Little Tokyo. All trips on Line 30 will operate weekdays and weekends between Little Tokyo and Pico Rimpau Transit Center.",Avoid duplicating new Regional Connector E Line while retaining local bus 106 for 1st St.,"With the opening of Regional Connector light rail and the E Line serving East LA, Line 30 trips will no longer operate east of Little Tokyo to Union Station or Indiana Station. Line 106 will still serve 1st St. between Indiana Station and Little Tokyo. All trips on Line 30 will operate weekdays and weekends between Little Tokyo and Pico Rimpau Transit Center.",Avoid duplicating new Regional Connector E Line while retaining local bus 106 for 1st St.,"With the opening of Regional Connector light rail and the E Line serving East LA, Line 30 trips will no longer operate east of Little Tokyo to Union Station or Indiana Station. Line 106 will still serve 1st St. between Indiana Station and Little Tokyo. All trips on Line 30 will operate weekdays and weekends between Little Tokyo and Pico Rimpau Transit Center.",Avoid duplicating new Regional Connector E Line while retaining local bus 106 for 1st St.,"With the opening of Regional Connector light rail and the E Line serving East LA, Line 30 trips will no longer operate east of Little Tokyo to Union Station or Indiana Station. Line 106 will still serve 1st St. between Indiana Station and Little Tokyo. All trips on Line 30 will operate weekdays and weekends between Little Tokyo and Pico Rimpau Transit Center.",Avoid duplicating new Regional Connector E Line while retaining local bus 106 for 1st St.,"With the opening of Regional Connector light rail and the E Line serving East LA, Line 30 trips will no longer operate east of Little Tokyo to Union Station or Indiana Station. Line 106 will still serve 1st St. between Indiana Station and Little Tokyo. All trips on Line 30 will operate weekdays and weekends between Little Tokyo and Pico Rimpau Transit Center.",Avoid duplicating new Regional Connector E Line while retaining local bus 106 for 1st St.,"With the opening of Regional Connector light rail and the E Line serving East LA, Line 30 trips will no longer operate east of Little Tokyo to Union Station or Indiana Station. Line 106 will still serve 1st St. between Indiana Station and Little Tokyo. All trips on Line 30 will operate weekdays and weekends between Little Tokyo and Pico Rimpau Transit Center.",Avoid duplicating new Regional Connector E Line while retaining local bus 106 for 1st St.,"With the opening of Regional Connector light rail and the E Line serving East LA, Line 30 trips will no longer operate east of Little Tokyo to Union Station or Indiana Station. Line 106 will still serve 1st St. between Indiana Station and Little Tokyo. All trips on Line 30 will operate weekdays and weekends between Little Tokyo and Pico Rimpau Transit Center.",Avoid duplicating new Regional Connector E Line while retaining local bus 106 for 1st St.
30,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
33,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
40,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
45,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
51,Line 51 trips starting/ending in Downtown LA will include stops as far west as 7th/Bixel St.,Additional trips serving 7th/Bixel stops west of downtown LA for rider convenience.,,Line 51 trips starting/ending in Downtown LA will include stops as far west as 7th/Bixel St.,Additional trips serving 7th/Bixel stops west of downtown LA for rider convenience.,Line 51 trips starting/ending in Downtown LA will include stops as far west as 7th/Bixel St.,Additional trips serving 7th/Bixel stops west of downtown LA for rider convenience.,Line 51 trips starting/ending in Downtown LA will include stops as far west as 7th/Bixel St.,Additional trips serving 7th/Bixel stops west of downtown LA for rider convenience.,Line 51 trips starting/ending in Downtown LA will include stops as far west as 7th/Bixel St.,Additional trips serving 7th/Bixel stops west of downtown LA for rider convenience.,Line 51 trips starting/ending in Downtown LA will include stops as far west as 7th/Bixel St.,Additional trips serving 7th/Bixel stops west of downtown LA for rider convenience.,Line 51 trips starting/ending in Downtown LA will include stops as far west as 7th/Bixel St.,Additional trips serving 7th/Bixel stops west of downtown LA for rider convenience.,Line 51 trips starting/ending in Downtown LA will include stops as far west as 7th/Bixel St.,Additional trips serving 7th/Bixel stops west of downtown LA for rider convenience.,Line 51 trips starting/ending in Downtown LA will include stops as far west as 7th/Bixel St.,Additional trips serving 7th/Bixel stops west of downtown LA for rider convenience.
51,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
51,"Minor Saturday frequency changes, please check schedule.",Align with ridership levels,,"Minor Saturday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday frequency changes, please check schedule.",Align with ridership levels
53,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
55,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
60,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
62,Sunday schedules have been updated.,Improved reliability,,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability
66,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
70,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
76,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
78,Line 78 adjusted to operate every 20 minutes on weekends,Align service with ridership levels and NextGen Bus Plan.,,Line 78 adjusted to operate every 20 minutes on weekends,Align service with ridership levels and NextGen Bus Plan.,Line 78 adjusted to operate every 20 minutes on weekends,Align service with ridership levels and NextGen Bus Plan.,Line 78 adjusted to operate every 20 minutes on weekends,Align service with ridership levels and NextGen Bus Plan.,Line 78 adjusted to operate every 20 minutes on weekends,Align service with ridership levels and NextGen Bus Plan.,Line 78 adjusted to operate every 20 minutes on weekends,Align service with ridership levels and NextGen Bus Plan.,Line 78 adjusted to operate every 20 minutes on weekends,Align service with ridership levels and NextGen Bus Plan.,Line 78 adjusted to operate every 20 minutes on weekends,Align service with ridership levels and NextGen Bus Plan.,Line 78 adjusted to operate every 20 minutes on weekends,Align service with ridership levels and NextGen Bus Plan.
78,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
81,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
90,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
92,All trips on Line 92 between 9am-6pm weekdays will be extended to serve the Burbank-Sylmar segment. Service on that segment will be increased to operate every 20 minutes.,Improved frequency to reduce rider wait times weekdays between Burbank and Sylmar.,,All trips on Line 92 between 9am-6pm weekdays will be extended to serve the Burbank-Sylmar segment. Service on that segment will be increased to operate every 20 minutes.,Improved frequency to reduce rider wait times weekdays between Burbank and Sylmar.,All trips on Line 92 between 9am-6pm weekdays will be extended to serve the Burbank-Sylmar segment. Service on that segment will be increased to operate every 20 minutes.,Improved frequency to reduce rider wait times weekdays between Burbank and Sylmar.,All trips on Line 92 between 9am-6pm weekdays will be extended to serve the Burbank-Sylmar segment. Service on that segment will be increased to operate every 20 minutes.,Improved frequency to reduce rider wait times weekdays between Burbank and Sylmar.,All trips on Line 92 between 9am-6pm weekdays will be extended to serve the Burbank-Sylmar segment. Service on that segment will be increased to operate every 20 minutes.,Improved frequency to reduce rider wait times weekdays between Burbank and Sylmar.,All trips on Line 92 between 9am-6pm weekdays will be extended to serve the Burbank-Sylmar segment. Service on that segment will be increased to operate every 20 minutes.,Improved frequency to reduce rider wait times weekdays between Burbank and Sylmar.,All trips on Line 92 between 9am-6pm weekdays will be extended to serve the Burbank-Sylmar segment. Service on that segment will be increased to operate every 20 minutes.,Improved frequency to reduce rider wait times weekdays between Burbank and Sylmar.,All trips on Line 92 between 9am-6pm weekdays will be extended to serve the Burbank-Sylmar segment. Service on that segment will be increased to operate every 20 minutes.,Improved frequency to reduce rider wait times weekdays between Burbank and Sylmar.,All trips on Line 92 between 9am-6pm weekdays will be extended to serve the Burbank-Sylmar segment. Service on that segment will be increased to operate every 20 minutes.,Improved frequency to reduce rider wait times weekdays between Burbank and Sylmar.
92,New stop on Line 92 added southbound on Spring St nearside 6th St.,Improve access to Downtown LA.,,New stop on Line 92 added southbound on Spring St nearside 6th St.,Improve access to Downtown LA.,New stop on Line 92 added southbound on Spring St nearside 6th St.,Improve access to Downtown LA.,New stop on Line 92 added southbound on Spring St nearside 6th St.,Improve access to Downtown LA.,New stop on Line 92 added southbound on Spring St nearside 6th St.,Improve access to Downtown LA.,New stop on Line 92 added southbound on Spring St nearside 6th St.,Improve access to Downtown LA.,New stop on Line 92 added southbound on Spring St nearside 6th St.,Improve access to Downtown LA.,New stop on Line 92 added southbound on Spring St nearside 6th St.,Improve access to Downtown LA.,New stop on Line 92 added southbound on Spring St nearside 6th St.,Improve access to Downtown LA.
94,Weekday and Saturday schedules have been updated.,Improved reliability,,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability
102,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
106,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
108,Saturday schedules have been updated.,Improved reliability,,Saturday schedules have been updated.,Improved reliability,Saturday schedules have been updated.,Improved reliability,Saturday schedules have been updated.,Improved reliability,Saturday schedules have been updated.,Improved reliability,Saturday schedules have been updated.,Improved reliability,Saturday schedules have been updated.,Improved reliability,Saturday schedules have been updated.,Improved reliability,Saturday schedules have been updated.,Improved reliability
110,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
